LA_name,LA_code,one_bedroom,two_bedrooms,three_bedrooms,four_plus_bedrooms
Hartlepool,E06000001,76,2738,11175,6133
Middlesbrough,E06000002,134,4045,21005,8783
Redcar and Cleveland,E06000003,104,3216,16726,7662
Stockton-on-Tees,E06000004,172,3907,23344,16451
Darlington,E06000005,96,3831,11683,6969
County Durham,E06000047,321,14973,56682,28449
Northumberland,E06000057,126,8234,30219,20563
Newcastle upon Tyne,E08000021,363,10258,31680,16289
North Tyneside,E08000022,164,6621,22464,13404
South Tyneside,E08000023,111,5351,18664,6033
Sunderland,E08000024,192,9230,30885,14680
Gateshead,E08000037,114,7585,20629,10700
Halton,E06000006,97,3791,16308,7797
Warrington,E06000007,318,6015,21834,15896
Blackburn with Darwen,E06000008,195,7445,20706,12304
Blackpool,E06000009,190,4087,16474,7241
Cheshire East,E06000049,212,10021,33495,35893
Cheshire West and Chester,E06000050,197,8375,35946,26224
Cumberland,E06000063,121,6098,28019,17285
Westmorland and Furness,E06000064,139,5641,19818,13321
Burnley,E07000117,45,5236,11597,5149
Chorley,E07000118,64,2897,11290,10022
Fylde,E07000119,51,1523,6123,6281
Hyndburn,E07000120,47,4792,9319,4843
Lancaster,E07000121,124,3627,13402,8944
Pendle,E07000122,110,4924,11922,6487
Preston,E07000123,251,5093,17991,9678
Ribble Valley,E07000124,28,1215,4634,5607
Rossendale,E07000125,35,2806,7050,5573
South Ribble,E07000126,74,2314,11403,8543
West Lancashire,E07000127,57,1941,11381,8746
Wyre,E07000128,53,1925,10714,7447
Bolton,E08000001,480,16328,36487,19476
Bury,E08000002,262,8079,21770,14510
Manchester,E08000003,2129,29274,72938,25010
Oldham,E08000004,726,16231,29072,17141
Rochdale,E08000005,500,12318,29021,13916
Salford,E08000006,753,13002,29377,16145
Stockport,E08000007,429,10410,30303,22397
Tameside,E08000008,391,12694,27580,11416
Trafford,E08000009,313,6832,27050,21947
Wigan,E08000010,256,10751,39294,18824
Knowsley,E08000011,116,4195,21843,8152
Liverpool,E08000012,860,15134,56328,22109
St. Helens,E08000013,109,5487,23401,8279
Sefton,E08000014,277,5459,30409,17760
Wirral,E08000015,227,6377,36582,23837
"Kingston upon Hull, City of",E06000010,438,12580,34637,12083
East Riding of Yorkshire,E06000011,165,7069,28759,26303
North East Lincolnshire,E06000012,129,2936,21801,8638
North Lincolnshire,E06000013,137,3194,21015,10147
York,E06000014,246,6037,15082,13765
North Yorkshire,E06000065,410,13630,51155,47855
Barnsley,E08000016,171,6989,30174,13337
Doncaster,E08000017,279,7695,40362,16262
Rotherham,E08000018,281,7049,33993,15880
Sheffield,E08000019,1147,21235,61679,30521
Bradford,E08000032,1139,20297,66329,55738
Calderdale,E08000033,286,8336,21294,15901
Kirklees,E08000034,882,18798,46173,34203
Leeds,E08000035,1875,35087,77603,58680
Wakefield,E08000036,340,11517,41153,21566
Derby,E06000015,551,10906,31600,16204
Leicester,E06000016,2866,21151,46557,18573
Rutland,E06000017,12,714,2941,3478
Nottingham,E06000018,1067,13879,39714,12115
North Northamptonshire,E06000061,489,11329,39972,27721
West Northamptonshire,E06000062,1156,15700,41149,35312
Amber Valley,E07000032,70,3486,12357,8105
Bolsover,E07000033,36,2110,9578,4068
Chesterfield,E07000034,145,3703,10743,5362
Derbyshire Dales,E07000035,29,1340,5766,5079
Erewash,E07000036,81,3362,12341,6216
High Peak,E07000037,51,2691,8505,6295
North East Derbyshire,E07000038,61,2386,10090,6476
South Derbyshire,E07000039,56,2709,10151,9781
Blaby,E07000129,72,2211,10732,8929
Charnwood,E07000130,169,4464,17040,13524
Harborough,E07000131,32,1926,7164,10883
Hinckley and Bosworth,E07000132,91,2834,10788,8777
Melton,E07000133,17,1156,4942,3956
North West Leicestershire,E07000134,77,2186,10035,8915
Oadby and Wigston,E07000135,61,1641,6105,4332
Boston,E07000136,150,2894,8116,3609
East Lindsey,E07000137,115,3955,11903,8006
Lincoln,E07000138,137,4550,9815,4371
North Kesteven,E07000139,25,2148,10620,10332
South Holland,E07000140,110,2786,9420,5936
South Kesteven,E07000141,87,3424,13571,11950
West Lindsey,E07000142,40,1938,8460,7959
Ashfield,E07000170,86,3586,15802,7011
Bassetlaw,E07000171,104,2322,12469,8275
Broxtowe,E07000172,83,2940,10556,7201
Gedling,E07000173,106,3030,12545,8058
Mansfield,E07000174,142,3270,13384,6048
Newark and Sherwood,E07000175,89,2361,12771,8742
Rushcliffe,E07000176,34,1788,8750,14070
"Herefordshire, County of",E06000019,259,5090,16681,12277
Telford and Wrekin,E06000020,159,4959,22385,14307
Stoke-on-Trent,E06000021,284,15119,33598,10147
Shropshire,E06000051,160,6785,28177,23519
Cannock Chase,E07000192,114,3182,11235,5842
East Staffordshire,E07000193,132,4053,12785,9870
Lichfield,E07000194,48,2524,9430,8615
Newcastle-under-Lyme,E07000195,64,4061,12423,6569
South Staffordshire,E07000196,39,2529,9059,8015
Stafford,E07000197,99,3231,12441,10731
Staffordshire Moorlands,E07000198,47,2155,9043,6081
Tamworth,E07000199,88,2553,9469,4841
North Warwickshire,E07000218,50,1806,6751,4094
Nuneaton and Bedworth,E07000219,152,4672,16142,8075
Rugby,E07000220,136,3771,11163,9835
Stratford-on-Avon,E07000221,75,3198,9734,12457
Warwick,E07000222,104,4493,11894,12340
Bromsgrove,E07000234,84,2006,8690,9831
Malvern Hills,E07000235,40,1988,6049,5873
Redditch,E07000236,258,2992,10123,5663
Worcester,E07000237,183,3514,10865,6234
Wychavon,E07000238,155,3810,10651,10497
Wyre Forest,E07000239,133,2833,10632,5737
Birmingham,E08000025,5449,56704,159496,72541
Coventry,E08000026,856,15791,43939,17415
Dudley,E08000027,552,10716,41656,16745
Sandwell,E08000028,1061,15080,53741,17171
Solihull,E08000029,285,6100,22233,19421
Walsall,E08000030,488,12452,41560,15239
Wolverhampton,E08000031,869,11773,37361,12979
Peterborough,E06000031,899,10071,26632,16699
Luton,E06000032,1910,13812,30688,14012
Southend-on-Sea,E06000033,904,8759,17266,11932
Thurrock,E06000034,946,9898,23845,10121
Bedford,E06000055,606,6981,19751,14876
Central Bedfordshire,E06000056,355,9988,29843,24780
Cambridge,E07000008,230,5344,9887,7985
East Cambridgeshire,E07000009,78,2631,7456,8339
Fenland,E07000010,173,3693,10094,5972
Huntingdonshire,E07000011,196,4975,15505,16340
South Cambridgeshire,E07000012,128,4706,13065,18415
Basildon,E07000066,1067,8091,20859,13827
Braintree,E07000067,225,5655,14962,11935
Brentwood,E07000068,269,2808,5590,7607
Castle Point,E07000069,227,2348,7806,7077
Chelmsford,E07000070,384,6008,15757,16418
Colchester,E07000071,325,7869,18489,14593
Epping Forest,E07000072,627,4706,11551,11739
Harlow,E07000073,905,7280,10285,4201
Maldon,E07000074,57,1784,4900,5733
Rochford,E07000075,132,2158,7326,7628
Tendring,E07000076,294,4926,12627,8871
Uttlesford,E07000077,100,2311,7223,10708
Broxbourne,E07000095,602,5532,9955,6307
Dacorum,E07000096,436,6518,15498,12870
Hertsmere,E07000098,541,5277,10042,9148
North Hertfordshire,E07000099,258,4280,13526,10870
Three Rivers,E07000102,313,3477,9037,8852
Watford,E07000103,923,7033,9777,6615
Breckland,E07000143,151,3944,13221,9478
Broadland,E07000144,74,2878,10904,10679
Great Yarmouth,E07000145,235,4216,10054,5111
King's Lynn and West Norfolk,E07000146,145,4430,14705,9538
North Norfolk,E07000147,105,2852,7869,4909
Norwich,E07000148,275,6380,14273,5032
South Norfolk,E07000149,76,3449,11605,12656
Babergh,E07000200,56,2448,7780,6831
Ipswich,E07000202,421,6445,18239,6438
Mid Suffolk,E07000203,46,2375,8227,8256
St Albans,E07000240,407,5306,12091,19046
Welwyn Hatfield,E07000241,360,4247,12553,8218
East Hertfordshire,E07000242,330,5530,12500,14325
Stevenage,E07000243,524,3897,11651,4527
East Suffolk,E07000244,274,5880,22450,16556
West Suffolk,E07000245,216,6027,16767,12847
City of London,E09000001,66,299,214,67
Barking and Dagenham,E09000002,2999,22691,29567,9901
Barnet,E09000003,3278,24960,27460,36183
Bexley,E09000004,1183,12682,26663,17365
Brent,E09000005,4855,25170,23877,21610
Bromley,E09000006,1633,15646,28093,28876
Camden,E09000007,3144,12810,12373,9349
Croydon,E09000008,4784,27952,36798,22693
Ealing,E09000009,4447,25334,29970,23404
Enfield,E09000010,4161,24481,34204,21682
Greenwich,E09000011,3058,21679,28381,14112
Hackney,E09000012,3751,20044,18767,14477
Hammersmith and Fulham,E09000013,2248,10347,8965,11155
Haringey,E09000014,4527,18766,16434,16303
Harrow,E09000015,2448,14155,23263,19596
Havering,E09000016,1375,11888,29557,17000
Hillingdon,E09000017,3091,20794,30704,18427
Hounslow,E09000018,3965,23878,24141,16032
Islington,E09000019,2822,14772,11688,8215
Kensington and Chelsea,E09000020,1102,7098,7596,7909
Kingston upon Thames,E09000021,897,8893,13531,14129
Lambeth,E09000022,4187,19819,17329,14834
Lewisham,E09000023,3843,23986,24120,14370
Merton,E09000024,2343,11584,18159,16279
Newham,E09000025,6286,27676,34172,18168
Redbridge,E09000026,4060,18636,27961,28373
Richmond upon Thames,E09000027,837,9401,13572,21287
Southwark,E09000028,5348,23297,18282,12061
Sutton,E09000029,1755,14702,19684,14195
Tower Hamlets,E09000030,5017,29526,21072,9716
Waltham Forest,E09000031,4268,19324,23366,17392
Wandsworth,E09000032,2909,18024,16202,23531
Westminster,E09000033,2495,12187,10475,6186
Medway,E06000035,892,12433,34913,16497
Bracknell Forest,E06000036,361,4824,12019,10141
West Berkshire,E06000037,300,5136,13996,14607
Reading,E06000038,856,9774,16644,9455
Slough,E06000039,2435,12003,20001,10478
Windsor and Maidenhead,E06000040,388,5093,12224,15244
Wokingham,E06000041,173,4904,14935,21736
Milton Keynes,E06000042,1264,13700,30647,25271
Brighton and Hove,E06000043,1426,12485,17503,16480
Portsmouth,E06000044,542,10036,22414,8969
Southampton,E06000045,1351,14288,25048,9326
Isle of Wight,E06000046,190,5111,12069,6682
Buckinghamshire,E06000060,1039,19517,49729,54776
Eastbourne,E07000061,485,4569,9685,4753
Hastings,E07000062,281,4421,8813,5058
Lewes,E07000063,186,3502,8656,6939
Rother,E07000064,130,3036,6672,5711
Wealden,E07000065,123,4643,12100,13559
Basingstoke and Deane,E07000084,258,6026,18058,15415
East Hampshire,E07000085,173,3475,9817,11833
Eastleigh,E07000086,105,4777,13574,11167
Fareham,E07000087,63,2516,10087,8969
Gosport,E07000088,177,3213,9157,4183
Hart,E07000089,79,2389,7952,11416
Havant,E07000090,172,4452,12576,7125
New Forest,E07000091,190,4504,14743,11527
Rushmoor,E07000092,289,4808,11009,5228
Test Valley,E07000093,121,3498,12126,11057
Winchester,E07000094,111,3354,9442,12532
Ashford,E07000105,260,5216,13415,10694
Canterbury,E07000106,319,5136,12397,10125
Dartford,E07000107,635,7285,13275,8034
Dover,E07000108,220,4535,11602,6355
Gravesham,E07000109,571,5031,13017,6706
